Latitude, Longitude
15.573873,48.133907
15.573871,48.133906
15.573870,48.133906
15.573868,48.133907
15.573870,48.133907
15.573867,48.133903
15.573865,48.133901
15.573865,48.133901
15.573866,48.133900
15.573868,48.133899
15.573872,48.133898
15.573871,48.133897
15.573870,48.133896
15.573869,48.133895
15.573867,48.133894
15.573865,48.133894
15.573865,48.133897
15.573864,48.133899
15.573860,48.133899
15.573855,48.133899
15.573852,48.133896
15.573854,48.133899
15.573856,48.133901
15.573858,48.133902
15.573858,48.133900
15.573859,48.133901
15.573859,48.133899
15.573863,48.133901
15.573865,48.133902
15.573865,48.133904
15.573863,48.133904
15.573864,48.133907
15.573861,48.133908
15.573855,48.133908
15.573853,48.133904
15.573843,48.133903
15.573846,48.133910
15.573841,48.133914
15.573839,48.133914
15.573840,48.133911
15.573839,48.133911
15.573841,48.133911
15.573841,48.133910
15.573841,48.133910
15.573840,48.133910
15.573839,48.133910
15.573838,48.133910
15.573838,48.133911
15.573841,48.133916
15.573843,48.133918
15.573844,48.133919
15.573846,48.133920
15.573846,48.133919
15.573845,48.133920
15.573844,48.133921
15.573844,48.133921
15.573843,48.133922
15.573842,48.133920
15.573840,48.133918
15.573838,48.133916
15.573839,48.133913
15.573841,48.133909
15.573843,48.133907
15.573841,48.133907
15.573840,48.133908
15.573840,48.133909
15.573839,48.133908
15.573840,48.133907
15.573842,48.133907
15.573844,48.133908
15.573845,48.133908
15.573845,48.133909
15.573847,48.133910
15.573847,48.133912
15.573848,48.133913
15.573848,48.133914
15.573846,48.133914
15.573847,48.133916
15.573849,48.133916
15.573849,48.133916
15.573848,48.133918
15.573846,48.133919
15.573846,48.133919
15.573844,48.133919
15.573840,48.133921
15.573841,48.133919
15.573843,48.133919
15.573846,48.133916
15.573849,48.133911
15.573848,48.133911
15.573850,48.133906
15.573849,48.133901
15.573846,48.133899
15.573843,48.133898
15.573849,48.133891
15.573849,48.133889
15.573848,48.133890
15.573845,48.133892
15.573843,48.133898
15.573838,48.133905
15.573835,48.133913
15.573832,48.133921
15.573829,48.133924
15.573826,48.133924
15.573824,48.133925
15.573821,48.133920
15.573819,48.133916
15.573818,48.133913
15.573816,48.133910
15.573816,48.133907
15.573817,48.133904
15.573817,48.133898
15.573818,48.133895
15.573820,48.133890
15.573821,48.133885
15.573825,48.133877
15.573824,48.133873
15.573832,48.133868
15.573832,48.133865
15.573842,48.133858
15.573840,48.133857
15.573845,48.133855
15.573852,48.133855
15.573852,48.133856
15.573851,48.133854
15.573847,48.133853
15.573838,48.133855
15.573835,48.133853
15.573834,48.133853
15.573834,48.133852
15.573834,48.133852
15.573830,48.133852
15.573828,48.133860
15.573825,48.133871
15.573820,48.133881
15.573814,48.133891
15.573814,48.133902
15.573815,48.133913
15.573820,48.133922
15.573821,48.133932
15.573820,48.133946
15.573818,48.133960
15.573816,48.133975
15.573813,48.133989
15.573811,48.134003
15.573809,48.134016
15.573807,48.134021
15.573804,48.134024
15.573805,48.134027
15.573804,48.134028
15.573803,48.134027
15.573800,48.134025
15.573797,48.134019
15.573795,48.134012
15.573794,48.134010
15.573794,48.134011
15.573795,48.134010
15.573798,48.134011
15.573799,48.134005
15.573800,48.134002
15.573803,48.134004
15.573805,48.134006
15.573811,48.134012
15.573816,48.134014
15.573820,48.134017
15.573820,48.134023
15.573820,48.134031
15.573820,48.134038
15.573820,48.134047
15.573821,48.134054
15.573821,48.134056
15.573823,48.134053
15.573823,48.134049
15.573824,48.134044
15.573826,48.134042
15.573826,48.134036
15.573827,48.134034
15.573833,48.134032
15.573833,48.134033
15.573833,48.134032
15.573831,48.134033
15.573830,48.134032
15.573829,48.134037
15.573826,48.134037
15.573825,48.134037
15.573826,48.134026
15.573826,48.134017
15.573825,48.134011
15.573821,48.134010
15.573815,48.134005
15.573811,48.133996
15.573808,48.133989
15.573809,48.133985
15.573807,48.133983
15.573804,48.133982
15.573802,48.133983
15.573801,48.133985
