Country or Area,Year,Sex,Classification,Subclassification,Coverage,Scope,Source,SourceID,Value,Value Footnotes
Brazil,2002,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,885.39,1
Brazil,2002,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,952.64,1
Brazil,2002,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,783.69,1
Brazil,2001,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,829.88,1
Brazil,2001,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,896.67,1
Brazil,2001,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,727.77,1
Brazil,2000,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,766.53,1
Brazil,2000,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,823.48,1
Brazil,2000,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,677.71,1
Brazil,1999,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,746.69,1
Brazil,1999,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,809.18,1
Brazil,1999,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,649.49,1
Brazil,1998,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,711.55,1
Brazil,1998,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,767.23,1
Brazil,1998,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,622.26,1
Brazil,1997,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,681.68,1
Brazil,1997,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,743.01,1
Brazil,1997,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,581.31,1
Brazil,1996,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,636.18,1
Brazil,1996,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,700.46,1
Brazil,1996,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,530.36,1
Brazil,1995,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,578.87,1
Brazil,1995,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,635.93,1
Brazil,1995,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,483.19,1
Brazil,1994,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,428.59,1
Brazil,1994,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,470.93,1
Brazil,1994,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Administrative reports,# 0,356.23,1
Colombia,2007,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,657756,"2,3,4"
Colombia,2007,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,899250,"2,3,4"
Colombia,2007,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,608984,"2,3,4"
Colombia,2006,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,681543,"2,3,4"
Colombia,2006,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,777056,"2,3,4"
Colombia,2006,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,610361,"2,3,4"
Colombia,2005,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,677332,"2,3,4"
Colombia,2005,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,767999,"2,3,4"
Colombia,2005,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,622050,"2,3,4"
Colombia,2004,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,624656,"2,3,4"
Colombia,2004,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,705816,"2,3,4"
Colombia,2004,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,531403,"2,3,4"
Colombia,2003,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,410396,"2,3,4"
Colombia,2003,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,439929,"2,3,4"
Colombia,2003,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,369430,"2,3,4"
Colombia,2002,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,352448,"2,3,4"
Colombia,2002,Men,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,377576,"2,3,4"
Colombia,2002,Women,ISIC-Rev.3,Total.,Employees,Earnings per month,Labour force survey,# 0,317784,"2,3,4"
Colombia,2000,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,457836,"5,6"
Colombia,1999,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,464830,"5,6"
Colombia,1999,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,513342,"5,6"
Colombia,1998,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,501872,"5,6"
Colombia,1998,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,489692,"5,6"
Colombia,1997,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,403666,"5,6"
Colombia,1997,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,399199,"5,6"
Colombia,1996,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,322954,"5,6"
Colombia,1996,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,327980,"5,6"
Colombia,1995,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,289315,"5,6"
Colombia,1995,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,255421,"5,6"
Colombia,1994,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,228703,"5,6"
Colombia,1994,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,247455,"5,6"
Colombia,1993,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,198339,"5,6"
Colombia,1993,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,178237,"5,6"
Colombia,1992,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,124031,"5,6"
Colombia,1992,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,128056,"5,6"
Colombia,1991,Total men and women,ISIC-Rev.2,Total.,Total coverage,Earnings per month,Labour force survey,# 0,100355,"5,6,7"
Colombia,1991,Total men and women,ISIC-Rev.2,Total.,Employees,Earnings per month,Labour force survey,# 0,101733,"5,6,7"
Costa Rica,2008,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,1336.337744,8
Costa Rica,2008,Total men and women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,576699,8
Costa Rica,2008,Men,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,577400,8
Costa Rica,2008,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,1336.875536,8
Costa Rica,2008,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,1335.330302,8
Costa Rica,2008,Women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,575389,8
Costa Rica,2007,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,1221.6,8
Costa Rica,2007,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,1236.5,8
Costa Rica,2007,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,1197.4,8
Costa Rica,2006,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,1017.3,8
Costa Rica,2006,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,1009.8,8
Costa Rica,2006,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,1031.7,8
Costa Rica,2005,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,943.9,8
Costa Rica,2005,Total men and women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,385737,8
Costa Rica,2005,Men,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,385754,8
Costa Rica,2005,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,952.2,8
Costa Rica,2005,Women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,929.4,8
Costa Rica,2005,Women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,385702,8
Costa Rica,2004,Total men and women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,166804,8
Costa Rica,2004,Total men and women,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,862,8
Costa Rica,2004,Men,ISIC-Rev.3,Total.,Employees,Earnings per hour,Labour force survey,# 0,851.6,8
Costa Rica,2004,Men,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,172119,8
Costa Rica,2004,Women,ISIC-Rev.3,Total.,Total coverage,Earnings per month,Labour force survey,# 5,156834,8
