Year,Day,Month,Time of capture,species name,Sex,Age,Band number,Trap identification,Weather,Banding report?,Recapture?,Recapture date (month),Recapture date (day),Condition,Release,Comments,Data entry person,Weight,Wing chord,Temperature,"Recapture, original","Recapture, previous",Tail length
1972,16,7,7:00:00,Song Sparrow,U,AHY (After Hatch Year),107-151187,warbler,none,check mark in record,no check,none,none,none,none,none,Jerald Dosch,,,,,,
1972,16,7,7:00:00,Song Sparrow,U,AHY (After Hatch Year),107-151187,Warbler,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,16,7,7:00:00,Field Sparrow,U,AHY (After Hatch Year),1260-74572,Warbler,none,no check mark in record,check or yes,7,9,none,none,none,Caitlin Baker,,,,,,
1972,16,7,7:00:00,Field Sparrow,U,AHY (After Hatch Year),1260-74541,Elevator,none,no check mark in record,check or yes,4,25,none,none,none,Caitlin Baker,,,,,,
1972,16,7,7:00:00,Song Sparrow,U,AHY (After Hatch Year),107-151188,Elevator,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,16,7,13:00:00,Field Sparrow,U,HY (Hatch Year),1260-74578,Net-Blue,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,16,7,13:00:00,Song Sparrow,U,HY (Hatch Year),107-151189,Warbler,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,16,7,15:00:00,Field Sparrow,U,HY (Hatch Year),1260-74579,Tree,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,16,7,17:00:00,House Sparrow,U,HY (Hatch Year),107-151190,Elevator,none,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,17,7,16:00:00,House Sparrow,U,HY (Hatch Year),107-151191,Warbler,Cloudy,check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,18,7,9:30:00,Robin,U,L (Local),742-09446,72-52,"Clear, calm",check mark in record,no check,none,none,natal down; docile,none,none,Caitlin Baker,,,,,,
1972,18,7,9:30:00,Robin,U,U (Unknown),742-09447,-,"Clear, calm",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,18,7,9:30:00,Robin,U,U (Unknown),742-09445,-,"Clear, calm",check mark in record,no check,none,none,none,none,none,Caitlin Baker,,,,,,
1972,18,7,9:45:00,Catbird,M,AHY (After Hatch Year),73-166542,Stn. Green,none,check mark in record,no check,none,none,docile,none,none,Caitlin Baker,,,,,,
1972,18,7,9:45:00,Yellow Warbler,U,HY (Hatch Year),1260-74580,Stn. Green,none,check mark in record,no check,none,none,active,none,none,Caitlin Baker,,,,,,
1972,18,7,17:00:00,Field Sparrow,U,HY (Hatch Year),1260-74581,Warbler,none,check mark in record,no check,none,none,active,none,none,Caitlin Baker,,,,,,
1972,18,7,17:00:00,Field Sparrow,U,HY (Hatch Year),1260-74582,Warbler,none,check mark in record,no check,none,none,active,escaped; died,none,Caitlin Baker,,,,,,
1972,18,7,19:30:00,Field Sparrow,U,U (Unknown),1260-74541,Warbler,none,no check mark in record,check or yes,4,25,active,no crown scar; sumacs,none,Caitlin Baker,,,,,,
1972,19,7,5:30:00,Field Sparrow,U,HY (Hatch Year),1260-74583,Elevator,Cloudy. calm,check mark in record,no check,none,none,"active, forehead scar",flew off,none,Caitlin Baker,,,,,,
1972,19,7,17:00:00,Field Sparrow,U,HY (Hatch Year),1260-74584,Tree,"Clear, calm",check mark in record,no check,none,none,active,flew to sumacs,none,Caitlin Baker,,,,,,
1972,20,7,18:00:00,Song Sparrow,F,AHY (After Hatch Year),76-44548,Warbler,none,no check mark in record,check or yes,7,9,"active, bloody forehead",flew to sumacs,none,Caitlin Baker,,,,,,
