"Country","Year","Agricultural area","Agricultural area certified organic","Agricultural area in conversion to organic","Agricultural area irrigated","Agricultural area organic, total","Arable land","Arable land and Permanent crops","Arable land area certified organic","Arable land area in conversion to organic","Arable land organic, total","Country area","Fallow land","Forest area","Inland water","Land area","Other land","Perm. crops irrigated","Perm. crops non-irrigated","Perm. meadows & pastures - Cultivated","Perm. meadows & pastures - Nat. grown","Perm. meadows & pastures Cult. & irrig","Perm. meadows & pastures Cult. non-irrig","Permanent crops","Permanent crops area certified organic","Permanent crops area in conversion to organic","Permanent crops organic, total","Permanent meadows and pastures","Permanent meadows and pastures area certified organic","Permanent meadows and pastures area in conversion to organic","Permanent meadows and pastures organic, total","Temp. crops irrigated","Temp. crops non-irrigated","Temp. meadows & pastures irrigated","Temp. meadows & pastures non-irrig.","Temporary crops","Temporary meadows and pastures","Total area equipped for irrigation","Agricultural population","Female economically active population","Female economically active population in Agr","Male economically active population","Male economically active population in Agr","Non-agricultural population","Rural population","Total economically active population","Total economically active population in Agr","Total Population - Both sexes","Total Population - Female","Total Population - Male","Urban population"
"Afghanistan",2009,37910,0.03,0.03,1836,0.06,7793,7910,NA,NA,NA,65223,4324,1350,NA,65223,25963,NA,NA,NA,30000,NA,NA,117,NA,NA,NA,30000,NA,NA,NA,NA,NA,NA,NA,3469,NA,3199,18385,2278,1871,7524,4022,12193,23754,9802,5894,30578,14756,15822,6824
"Africa",2009,1161062.1,106.85,450.57,NA,1413.29,224417.8,253243.7,0.89,NA,23.89,3031568.6,NA,677898.08,66890,2964678.6,1138040.62,NA,NA,NA,NA,NA,NA,28825.9,1.83,0.02,121.85,907818.4,NA,NA,24,NA,NA,NA,NA,NA,NA,13729.93,506541,161695,101660,230868,108840,492507,603665,392563,210499,999046,499666,499380,395378
"Albania",2009,1204.29,NA,NA,202,NA,612,699,NA,NA,NA,2875,207,777.44,135,2740,758.27,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,505.29,NA,NA,NA,202,3,NA,NA,205,200,365,1354,612,264,847,355,1839,1567,1459,619,3193,1594,1599,1625
"Algeria",2009,41325,NA,NA,NA,0.6,7500,8435,NA,NA,NA,238174,3550,1500.8,NA,238174,195348.2,NA,NA,25,32865,NA,NA,935,NA,NA,NA,32890,NA,NA,NA,NA,NA,NA,NA,3950,NA,570,7416,4880,1660,9758,1497,27534,11922,14638,3157,34950,17311,17639,23028
"American Samoa",2009,5,NA,NA,NA,NA,2,5,NA,NA,NA,20,NA,17.75,NA,20,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,11,3,17,5,49,5,27,8,67,33,34,62
"Americas",2009,1193648.04,6861.44,463.84,NA,9185.21,357456.44,387071.44,66.04,0.14,66.18,4075051,NA,1573315.4,185819.8,3889231.2,1122267.76,NA,NA,NA,NA,NA,NA,29615,340.41,4.95,345.36,806576.6,98.06,372,465.06,NA,NA,NA,NA,NA,NA,44371.23,100338,197359,9537,257826,35248,824703,183010,455184,44787,925036,468316,456722,742028
"Andorra",2009,18,NA,NA,NA,NA,1,1,NA,NA,NA,47,NA,16,NA,47,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,1,23,1,79,10,39,2,84,41,43,74
"Angola",2009,58290,NA,NA,NA,NA,4000,4290,NA,NA,NA,124670,NA,58604.8,NA,124670,7775.2,NA,NA,NA,NA,NA,NA,290,NA,NA,NA,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,12894,3862,3122,4367,2597,5661,7861,8229,5718,18555,9369,9186,10694
"Anguilla",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,5.5,NA,9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,4,1,12,0,7,1,15,8,7,15
"Antigua and Barbuda",2009,13,NA,NA,NA,NA,8,9,NA,NA,NA,44,NA,9.8,NA,44,21.2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,18,16,2,22,6,70,61,38,8,88,44,43,27
