,"Gross national income per capita 2012, Atlas method and PPP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Purchasing,,,,,,,
,,,,Atlas,,,,,,power parity,,,,,,,
,,,,methodology,,,,,,(international,,,,,,,
,Ranking,,Economy,(US dollars),,,Ranking,,Economy,dollars),,,,,,,
,,,,,,,,,,,,,,,,,
MCO,1,,Monaco,..,a,,3,,Qatar,"80,470",a,,QAT,,,,
LIE,2,,Liechtenstein,..,a,,5,,"Macao SAR, China","68,000",a,,MAC,,,,
BMU,3,,Bermuda,"104,590",,,6,,Norway,"66,960",,,NOR,,,,
NOR,4,,Norway,"98,860",,,7,,Luxembourg,"60,160",,,LUX,,,,
CHE,5,,Switzerland,"80,970",,,8,,Singapore,"60,110",,,SGP,,,,
QAT,6,,Qatar,"76,010",a,,10,,Switzerland,"55,090",,,CHE,,,,
LUX,7,,Luxembourg,"71,620",,,13,,United States,"52,610",,,USA,,,,
IMY,8,,Isle of Man,..,a,,14,,"Hong Kong SAR, China","52,190",,,HKG,,,,
CHI,9,,Channel Islands,..,a,,16,,Kuwait,"47,770",a,,KWT,,,,
DNK,10,,Denmark,"59,850",,,20,,Sweden,"43,980",,,SWE,,,,
AUS,11,,Australia,"59,360",,,21,,Netherlands,"43,510",,,NLD,,,,
SMR,12,,San Marino,..,a,,22,,Denmark,"43,430",,,DNK,,,,
MAC,13,,"Macao SAR, China","55,720",a,,23,,Austria,"43,390",,,AUT,,,,
SWE,14,,Sweden,"55,970",,,24,,Australia,"43,300",,,AUS,,,,
CYM,15,,Cayman Islands,..,a,,25,,United Arab Emirates,"41,550","a, b",,ARE,,,,
FRO,16,,Faeroe Islands,..,a,,26,,Canada,"42,530",,,CAN,,,,
USA,17,,United States,"52,340",,,28,,Germany,"42,230",,,DEU,,,,
CAN,18,,Canada,"50,970",,,30,,Belgium,"39,860",,,BEL,,,,
KWT,19,,Kuwait,"44,100",a,,32,,Finland,"38,220",,,FIN,,,,
NLD,20,,Netherlands,"47,970",,,33,,United Kingdom,"37,340",,,GBR,,,,
JPN,21,,Japan,"47,880",,,35,,France,"36,720",,,FRA,,,,
AUT,22,,Austria,"47,660",,,36,,Japan,"36,300",,,JPN,,,,
SGP,23,,Singapore,"47,210",,,37,,Ireland,"35,670",,,IRL,,,,
FIN,24,,Finland,"46,490",,,38,,Iceland,"33,480",,,ISL,,,,
BEL,26,,Belgium,"44,660",,,39,,Italy,"32,920",,,ITA,,,,
