,Population 2012,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Ranking,,Economy,(thousands),,,,,,
,,,,,,,,,,
CHN,1,,China,"1,350,695",,,,,,
IND,2,,India,"1,236,687",,,,,,
USA,3,,United States,"313,914",,,,,,
IDN,4,,Indonesia,"246,864",,,,,,
BRA,5,,Brazil,"198,656",,,,,,
PAK,6,,Pakistan,"179,160",,,,,,
NGA,7,,Nigeria,"168,834",,,,,,
BGD,8,,Bangladesh,"154,695",,,,,,
RUS,9,,Russian Federation,"143,533",,,,,,
JPN,10,,Japan,"127,561",,,,,,
MEX,11,,Mexico,"120,847",,,,,,
PHL,12,,Philippines,"96,707",,,,,,
ETH,13,,Ethiopia,"91,729",,,,,,
VNM,14,,Vietnam,"88,776",,,,,,
DEU,15,,Germany,"81,890",,,,,,
EGY,16,,"Egypt, Arab Rep.","80,722",,,,,,
IRN,17,,"Iran, Islamic Rep.","76,424",,,,,,
TUR,18,,Turkey,"73,997",,,,,,
THA,19,,Thailand,"66,785",,,,,,
ZAR,20,,"Congo, Dem. Rep.","65,705",,,,,,
FRA,21,,France,"65,697",,,,,,
GBR,22,,United Kingdom,"63,228",,,,,,
ITA,23,,Italy,"60,918",,,,,,
MMR,24,,Myanmar,"52,797",,,,,,
ZAF,25,,South Africa,"51,189",,,,,,
KOR,26,,"Korea, Rep.","50,004",,,,,,
TZA,27,,Tanzania,"47,783",,,,,,
COL,28,,Colombia,"47,704",,,,,,
ESP,29,,Spain,"46,218",,,,,,
UKR,30,,Ukraine,"45,593",,,,,,
KEN,31,,Kenya,"43,178",,,,,,
ARG,32,,Argentina,"41,087",,,,,,
POL,33,,Poland,"38,543",,,,,,
DZA,34,,Algeria,"38,482",,,,,,
SDN,35,,Sudan,"37,195",,,,,,
UGA,36,,Uganda,"36,346",,,,,,
CAN,37,,Canada,"34,880",,,,,,
IRQ,38,,Iraq,"32,578",,,,,,
MAR,39,,Morocco,"32,521",,,,,,
PER,40,,Peru,"29,988",,,,,,
VEN,41,,"Venezuela, RB","29,955",,,,,,
AFG,42,,Afghanistan,"29,825",,,,,,
UZB,43,,Uzbekistan,"29,777",,,,,,
MYS,44,,Malaysia,"29,240",,,,,,
SAU,45,,Saudi Arabia,"28,288",,,,,,
NPL,46,,Nepal,"27,474",,,,,,
GHA,47,,Ghana,"25,366",,,,,,
MOZ,48,,Mozambique,"25,203",,,,,,
PRK,49,,"Korea, Dem. Rep.","24,763",,,,,,
YEM,50,,"Yemen, Rep.","23,852",,,,,,
AUS,51,,Australia,"22,684",,,,,,
SYR,52,,Syrian Arab Republic,"22,399",,,,,,
MDG,53,,Madagascar,"22,294",,,,,,
CMR,54,,Cameroon,"21,700",,,,,,
ROM,55,,Romania,"21,327",,,,,,
AGO,56,,Angola,"20,821",,,,,,
LKA,57,,Sri Lanka,"20,328",,,,,,
CIV,58,,Côte d'Ivoire,"19,840",,,,,,
CHL,59,,Chile,"17,465",,,,,,
NER,60,,Niger,"17,157",,,,,,
KAZ,61,,Kazakhstan,"16,797",,,,,,
NLD,62,,Netherlands,"16,768",,,,,,
BFA,63,,Burkina Faso,"16,460",,,,,,
